architecture,seed,direction,latent_idx,passes,candidate_available,selection_score,direction_selectivity,global_direction_selectivity,decoder_displacement_m,place_energy_enrichment,active_clean_windows,mse,mean_l0,parameter_count,all_top_expected_direction_fraction,all_top_clean_fraction,clean_top_expected_direction_fraction,decoder_raw_place_coactivity_excess_correlation,circular_shift_max_score_95pct,circular_shift_max_score_exceedance,all_top_ramp_clean_fraction,decoder_raw_first_pair_coactivity_excess_correlation,first_pair_decoder_peak_lag_s,first_pair_raw_excess_peak_lag_s
TransformerWindow,0,right,20,True,True,0.7037131468330587,0.5580052954806749,0.11828531328339321,0.2,546.637451171875,379,0.15331470584015686,4.000667723896169,555216,0.9375,0.375,1.0,0.9029826126873731,0.14511793810236928,0.009900990099009901,0.3125,0.8896324426929062,0.5999999999994543,0.6499999999994088
TransformerWindow,0,left,82,True,True,0.20850188532679786,-0.27276257674970666,-0.01987447734685814,-0.13781350999901903,255.38587951660156,342,0.15331470584015686,4.000667723896169,555216,0.6875,0.25,0.9375,0.8899553594128962,0.08390773612676677,0.009900990099009901,0.1875,0.9610346752842791,-0.7499999999993179,-0.5999999999994543
TransformerWindow,1,right,102,False,True,0.02851899380728903,0.09259709804782117,-0.024797891071553894,0.05302986395133408,331.90667724609375,388,0.153273665674162,3.998664552207662,555216,0.5,0.1875,0.5625,0.8682672552967661,0.045014560540361626,0.13861386138613863,0.0,0.5548219733013087,0.5499999999994998,0.5999999999994543
TransformerWindow,1,left,56,False,True,0.003242556744092583,-0.08737618764126444,0.10259612627140036,-0.008103782221163147,96.45399475097656,420,0.153273665674162,3.998664552207662,555216,0.375,0.5,0.375,0.9183842026273369,0.005476666419239261,0.16831683168316833,0.0,0.8858799190873957,0.29999999999972715,0.3999999999996362
TransformerWindow,2,right,100,True,True,0.6161406316904628,0.5527446983265881,0.19593105258085666,0.2,262.3449401855469,282,0.15307328138056128,3.994908605291712,555216,0.625,0.1875,1.0,0.8612707662384569,0.2124949818068259,0.009900990099009901,0.0625,0.8736046973489962,0.4499999999995907,0.4499999999995907
TransformerWindow,2,left,66,True,True,0.5992443987215719,-0.47878330521722934,-0.19815915637452028,-0.2,521.1692504882812,327,0.15307328138056128,3.994908605291712,555216,0.75,0.5,1.0,0.8728586581486093,0.258580334845217,0.009900990099009901,0.125,0.840184408195063,-0.49999999999954525,-0.49999999999954525
TransformerWindow,3,right,43,False,True,0.0,-0.3964931304234084,-0.06992742771478642,-0.11812129927678558,241.47396850585938,389,0.15322280962661614,3.9974960353893665,555216,0.6875,0.1875,0.0,0.9224675432317022,0.0,1.0,0.0625,0.8745855691297855,0.29999999999972715,-0.49999999999954525
TransformerWindow,3,left,43,True,True,0.25716210234790865,-0.3964931304234084,-0.06992742771478642,-0.11812129927678558,241.47396850585938,389,0.15322280962661614,3.9974960353893665,555216,0.3125,0.1875,1.0,0.9224675432317022,0.08883107337948341,0.009900990099009901,0.0625,0.8745855691297855,0.29999999999972715,-0.49999999999954525
TransformerWindow,4,right,107,True,True,0.39264568927745597,0.4090520313660546,0.11873453225822128,0.16979921745035317,284.1738586425781,396,0.15315705997852738,3.997162173441282,555216,0.625,0.125,0.875,0.9119594580813366,0.1868741249606803,0.009900990099009901,0.0,0.7615748050298442,0.7499999999993179,0.7499999999993179
TransformerWindow,4,left,16,False,True,0.0,0.1197321786037371,0.2413831965428297,0.13259521546497377,1089.12646484375,375,0.15315705997852738,3.997162173441282,555216,0.0625,0.4375,0.0625,0.8721198638557297,0.0,1.0,0.0625,0.8312871192422876,0.4499999999995907,0.4499999999995907
