pc,direction,pool,orientation,n,preferred,clean_crossings,first_pair_mean_position,mean_position,starts_raw
10,forward,unrestricted,-1,16,6,0,3,0.5414131307008998,"11235,30130,44075,55395,32595,25960,35185,8225,23605,35920,12385,36680,40980,11785,31770,37130"
10,forward,clean_crossing,-1,16,9,16,16,0.31016268073904024,"31785,13420,48115,29855,9625,53355,55025,44650,44820,49105,54350,10995,8050,18595,38800,35795"
10,backward,unrestricted,1,16,7,0,4,0.5214652403016165,"34540,55385,30120,41020,3600,53500,59800,41235,54450,16650,24680,35840,5765,19550,12735,22025"
10,backward,clean_crossing,1,16,9,16,16,0.3096063826883008,"11275,9615,31795,43115,55015,35785,54360,36795,18605,48110,27995,37580,49095,47885,11000,44675"
11,forward,unrestricted,1,16,9,0,4,0.6099200825795337,"44100,24510,16290,52500,30075,11230,7245,12855,56130,19090,36690,30945,18290,8275,59610,4480"
11,forward,clean_crossing,1,16,9,16,16,0.30440560206934786,"53350,24295,56595,39115,9505,47440,9855,13435,20575,18630,37580,28845,44680,32540,50225,47860"
11,backward,unrestricted,-1,16,7,0,3,0.5920597021892727,"33070,29065,38955,11210,54415,57305,3580,14670,59600,41040,7205,55365,32110,59250,48430,2870"
11,backward,clean_crossing,-1,16,8,16,16,0.3100577476836516,"45835,29865,25075,25335,20585,47465,43245,24305,55930,2130,53360,58945,8060,35785,37585,50265"
12,forward,unrestricted,-1,16,7,0,5,0.6051772281760899,"33065,59615,25930,41195,15960,30080,26285,52165,59805,3635,29725,55335,11155,1165,54925,22670"
12,forward,clean_crossing,-1,16,10,16,16,0.2988475085874974,"18255,31810,18605,50230,47445,45615,25350,7095,56600,10980,13420,41435,32330,9855,32525,43785"
12,backward,unrestricted,1,16,8,0,2,0.4571888175723316,"31750,8110,33075,405,54420,42240,52515,4185,36685,50665,11195,24375,57310,14245,48435,33810"
12,backward,clean_crossing,1,16,8,16,16,0.3064635150614612,"8065,24310,18430,50565,31100,43250,39085,18600,2115,41430,38800,56595,45840,20585,31785,50250"
13,forward,unrestricted,-1,16,9,0,3,0.5554686796721957,"130,57465,56720,34425,32145,21700,52110,23900,36700,58140,5470,17675,8935,38875,11200,28960"
13,forward,clean_crossing,-1,16,5,16,16,0.292024084147822,"47840,32330,25340,57600,24325,9865,58950,51300,47470,43805,12155,18615,31800,39090,41415,7470"
13,backward,unrestricted,1,16,6,0,2,0.5540032569409462,"4305,41010,19090,17715,52470,12745,58145,44105,4795,59610,22475,52890,135,44855,47980,39425"
13,backward,clean_crossing,1,16,11,16,16,0.31470471607020417,"24300,6665,4230,31090,18610,4005,9625,41420,31795,45830,9860,43810,2105,54995,20580,55930"
14,forward,unrestricted,1,16,4,0,3,0.5973269417542119,"52495,11995,33080,7240,52915,23285,59780,11175,125,45110,47995,7935,58735,40980,34655,1475"
14,forward,clean_crossing,1,16,8,16,16,0.3115217650363601,"2095,31795,7445,54400,43125,53370,28025,18625,29975,51315,43780,39090,47855,43235,58945,31280"
14,backward,unrestricted,-1,16,10,0,4,0.579822745000227,"21945,44980,5330,16400,22675,4465,59620,54500,29285,110,40645,17700,58130,33605,31780,36525"
14,backward,clean_crossing,-1,16,6,16,16,0.32089609690834153,"11280,39105,6660,25330,29980,37565,3380,35790,44645,38810,56605,18630,8060,12980,31265,18235"
15,forward,unrestricted,-1,16,9,1,4,0.5157143145395654,"5075,41015,41415,15425,57245,59605,21675,38450,2665,52485,55345,0,51000,24495,5705,39430"
15,forward,clean_crossing,-1,16,8,16,16,0.30797719952126207,"41415,50215,50560,25075,25315,18235,31260,20575,8060,35795,6660,24300,47455,12155,58935,4225"
15,backward,unrestricted,1,16,11,0,1,0.48792123994325143,"49640,57450,33820,50720,34520,36695,31760,12000,47990,30105,52920,24385,22945,7340,50855,8705"
15,backward,clean_crossing,1,16,7,16,16,0.2873419211751689,"25345,47835,36765,18250,18620,50575,28825,8055,31815,41440,45620,39095,24320,50235,58955,53375"
16,forward,unrestricted,1,16,6,1,2,0.4873397766978652,"34560,18120,5080,33085,28995,52565,57480,50575,4780,25375,11170,38550,27760,23280,37420,44375"
16,forward,clean_crossing,1,16,11,16,16,0.30093918803597575,"50575,31790,11290,21555,18235,25320,57805,43120,50220,54395,43260,24305,44805,4010,50905,2110"
16,backward,unrestricted,-1,16,8,0,2,0.5938012198915683,"2245,29595,11185,16660,59115,32805,40640,41400,9780,48075,52305,40990,11980,33430,4765,24580"
16,backward,clean_crossing,-1,16,9,16,16,0.31965567721881477,"45830,31785,5950,48610,8055,29965,6655,47840,50555,38805,3375,25325,54390,7455,4220,36790"
17,forward,unrestricted,-1,16,8,0,3,0.5257453129854385,"5335,42260,57230,17105,9655,35830,23300,22955,59210,24350,7235,52535,11990,630,8635,49150"
17,forward,clean_crossing,-1,16,10,16,16,0.3008923332480481,"47875,18260,9870,45845,11500,53365,24325,32515,56625,54395,25315,32330,7070,29970,50575,28020"
17,backward,unrestricted,1,16,10,1,4,0.4951435801755614,"23290,59785,47365,58745,45590,40985,20495,59190,11975,52635,10630,19805,53995,49625,38860,9235"
17,backward,clean_crossing,1,16,7,16,16,0.2913077812631642,"10630,47865,41420,24310,47480,43265,8055,20580,10995,18245,50560,44685,45830,55930,31265,18605"
18,forward,unrestricted,1,16,8,1,1,0.6368598373916823,"24575,57235,33220,50210,11920,51680,39420,5340,41005,2995,52540,21540,17645,2215,33915,40530"
18,forward,clean_crossing,1,16,8,16,16,0.31309332277135815,"21540,58930,3370,53345,32335,32520,10985,2100,4220,18630,24290,13435,45505,36795,55010,9860"
18,backward,unrestricted,-1,16,9,0,2,0.5372174110463357,"23295,52560,34415,12885,25370,11140,48055,38865,57000,2305,40990,46340,51015,32225,38545,42285"
18,backward,clean_crossing,-1,16,6,16,16,0.3102718400678092,"50570,7095,43270,20590,47870,56610,2130,37565,43780,11285,41435,57800,18255,38805,31105,24310"
19,forward,unrestricted,1,16,4,1,1,0.5716767913886777,"55655,24530,31230,35210,41420,5805,25945,30920,11205,23630,33305,7395,19130,58810,41050,26945"
19,forward,clean_crossing,1,16,8,16,16,0.3020095522933499,"41420,2140,47835,10625,25330,8050,38810,5945,49105,58965,11275,32500,4020,3510,36775,43810"
19,backward,unrestricted,-1,16,8,0,3,0.6154017757574062,"19085,29660,55710,58390,51865,8920,33190,8030,23330,52530,41025,10590,35340,36270,15140,47290"
19,backward,clean_crossing,-1,16,10,16,16,0.3144726569323968,"43110,47450,48590,21555,50565,4235,9865,39110,45510,50225,18610,24295,55015,29850,2105,25090"
20,forward,unrestricted,1,16,5,1,3,0.5150091869130479,"55895,30930,54975,2580,58890,8940,19250,53875,49650,14860,26975,7895,48445,45610,57105,44820"
20,forward,clean_crossing,1,16,9,16,16,0.298747352955228,"44820,18605,11500,32330,18430,10985,55930,45615,32505,36785,58950,43120,55000,43260,50250,51290"
20,backward,unrestricted,-1,16,7,0,1,0.6342773499056042,"23080,14725,30450,46575,51485,16390,34940,20140,51875,17790,55615,57240,58440,44180,14545,44490"
20,backward,clean_crossing,-1,16,9,16,16,0.30091168509142613,"37575,57575,25100,35785,31095,2095,28005,11290,29965,25340,9210,43780,47875,38800,55050,20575"
21,forward,unrestricted,-1,16,5,2,2,0.5748100829911066,"18260,5345,31740,7390,39285,25900,7045,29560,8615,23620,17455,23275,12910,24325,59595,50800"
21,forward,clean_crossing,-1,16,8,16,16,0.3180510150351031,"18260,24325,50585,38795,20570,49100,11285,7075,2140,14090,29860,47885,7450,3510,25325,47450"
21,backward,unrestricted,1,16,13,0,2,0.5782987245312894,"52530,15950,23325,26635,24505,38150,2720,47050,29545,41075,11215,48080,18505,5360,31135,25855"
21,backward,clean_crossing,1,16,9,16,16,0.3100071247608602,"7090,11005,9215,18250,38810,25310,25080,45505,32325,49115,24315,9870,14075,2100,4000,11275"
22,forward,unrestricted,-1,16,7,1,4,0.5033819912573521,"5795,53105,44165,19115,8850,33380,16395,11195,11925,43720,48090,38095,5080,55255,25085,23085"
22,forward,clean_crossing,-1,16,9,16,16,0.3105987428883359,"25085,11280,2130,43260,20825,31110,49115,28850,47475,37585,47880,38790,56605,25350,57560,12150"
22,backward,unrestricted,1,16,10,0,3,0.47855954750723373,"48475,5915,45005,7705,10595,24155,44210,39605,23810,19100,19585,45790,41305,10175,11820,30955"
22,backward,clean_crossing,1,16,8,16,16,0.29810751117419454,"55005,43125,50905,58935,9210,42020,21540,18615,9870,43245,32315,11000,31805,3360,9325,2095"
23,forward,unrestricted,-1,16,10,0,1,0.6368688959234707,"54935,17100,57945,52860,23655,8820,17895,40970,18005,45605,55290,29300,12310,58390,58700,8585"
23,forward,clean_crossing,-1,16,11,16,16,0.3055200214721262,"35805,44695,55050,18250,45840,44815,50905,43115,9215,29980,18615,9330,54390,8060,21550,38800"
23,backward,unrestricted,1,16,10,0,2,0.5878772836289173,"51870,15120,11205,31680,19830,45000,42965,18125,29585,43330,33370,38070,7315,50820,26210,17600"
23,backward,clean_crossing,1,16,10,16,16,0.2945191217223887,"25090,55045,43240,36770,57575,25350,44680,3370,18630,9205,50225,58970,37585,39105,43790,35780"
24,forward,unrestricted,1,16,8,0,6,0.4570698371349176,"23265,13200,27605,51135,32610,23650,51380,17710,46110,55900,10750,3545,53845,10,34735,8600"
24,forward,clean_crossing,1,16,14,16,16,0.3027413713311583,"41425,2135,57805,35800,25305,4230,38795,29975,10975,18595,32505,51300,37570,49110,8055,56595"
24,backward,unrestricted,-1,16,8,3,9,0.4458443423238145,"23345,36765,19825,48045,16150,5460,44005,31260,8035,6690,59260,27295,46480,9500,23070,12945"
24,backward,clean_crossing,-1,16,8,16,16,0.29930969616156294,"36765,31260,9500,43790,9860,18625,47455,2100,25330,57595,43120,29980,43235,38800,9200,10995"
25,forward,unrestricted,-1,16,7,0,4,0.459231726235634,"30190,26760,42470,34075,5085,52660,38775,59645,2380,41320,35565,12925,44950,53160,40980,4830"
25,forward,clean_crossing,-1,16,7,16,16,0.2993935619121143,"31080,24320,32510,50545,25095,7450,47440,5950,18610,35780,43255,57600,50230,55015,44695,18240"
25,backward,unrestricted,1,16,9,0,1,0.584501057902052,"17755,41310,53720,27310,13630,12495,24160,45460,21430,17075,17385,7360,30730,36340,16595,55185"
25,backward,clean_crossing,1,16,8,16,16,0.3006189414864025,"18620,56615,20825,21550,32320,58960,24315,25100,50575,50910,4000,44690,38805,9855,28835,48600"
26,forward,unrestricted,-1,16,9,1,3,0.5399644141072186,"48575,36325,5780,49190,57085,32675,13575,38690,47855,215,36610,52910,12945,32010,29535,18650"
26,forward,clean_crossing,-1,16,11,16,16,0.3172261753998897,"47855,55020,51295,24325,2130,47475,28855,54385,7110,18255,43780,35800,25310,53350,37575,44645"
26,backward,unrestricted,1,16,8,0,1,0.5440521623394252,"12900,36290,58410,9140,49195,58065,18025,13580,48580,26655,46645,20370,14550,46130,1850,42190"
26,backward,clean_crossing,1,16,11,16,16,0.3071111604186888,"18625,9495,21555,55025,3365,47450,58965,7465,2095,48600,31795,47860,50555,6655,55930,12255"
27,forward,unrestricted,1,16,8,0,3,0.5125456635198816,"52520,27315,32665,12935,17695,14410,21435,19885,24165,26755,28685,48545,16275,42910,51405,27780"
27,forward,clean_crossing,1,16,9,16,16,0.31811804387343795,"25105,3360,50915,13405,32325,18235,48110,7105,9860,50265,24320,51305,47865,55000,8055,5950"
27,backward,unrestricted,-1,16,9,0,4,0.4677352716322188,"34385,4835,17595,52665,37770,41165,6595,6330,12930,46655,51905,30195,1075,6715,59650,15105"
27,backward,clean_crossing,-1,16,12,16,16,0.3027887897383951,"51310,48590,31085,47470,25305,39115,7455,18615,48115,9205,58955,45510,44660,28020,8050,25075"
28,forward,unrestricted,1,16,7,1,5,0.5739622617378386,"6155,3175,59630,30140,52670,9740,24365,41305,3810,58025,12490,16180,26770,58630,25330,52140"
28,forward,clean_crossing,1,16,9,16,16,0.31346763350354356,"25330,8055,2135,20575,51315,20820,56605,31110,44685,18250,32520,32315,4000,47450,44820,48615"
28,backward,unrestricted,-1,16,6,0,5,0.4851152684945806,"38770,45345,6370,58725,59260,47140,11220,46490,50325,35850,8685,3205,6145,31305,15030,41950"
28,backward,clean_crossing,-1,16,11,16,16,0.31290741617384304,"3365,25345,55930,47460,6665,56625,24325,58970,50565,28845,7470,8060,41435,43780,55010,31095"
29,forward,unrestricted,-1,16,6,2,5,0.5260328995857309,"3310,12895,43770,43390,37865,50555,5700,58095,7320,47740,5950,6185,9830,52450,35825,26880"
29,forward,clean_crossing,-1,16,7,16,16,0.3112758601381159,"50555,5950,4225,56600,57565,11280,9325,55005,25115,3500,51295,31795,24300,39090,7475,12265"
29,backward,unrestricted,1,16,3,0,4,0.5907475053077541,"38755,6130,51665,25455,48270,51410,16375,43395,11960,11200,34340,33725,20180,25770,8170,3585"
29,backward,clean_crossing,1,16,7,16,16,0.3206875404497554,"43125,4220,21540,3505,10990,25320,47440,38805,18250,31075,54995,11285,56615,31785,9860,13420"
30,forward,unrestricted,1,16,10,0,1,0.5782558747593911,"6125,49180,41570,43405,12340,59445,29575,8170,15110,26200,6385,14880,15690,58705,38515,8960"
30,forward,clean_crossing,1,16,9,16,16,0.30254920832515797,"45510,4215,9495,28825,55015,57565,20815,56615,47465,21550,58950,43255,20585,44815,10995,25305"
30,backward,unrestricted,-1,16,9,1,3,0.572673541847122,"57235,43410,27310,18700,26505,12395,53350,16385,46180,34425,30180,51400,4755,27600,11935,36750"
30,backward,clean_crossing,-1,16,7,16,16,0.32642380017682116,"53350,35795,56620,38790,2140,43105,54390,7105,31100,31785,3355,9615,48115,24320,49100,4210"
31,forward,unrestricted,-1,16,11,1,5,0.4905302577432393,"3315,5320,415,6100,52455,9675,52260,27720,38070,58305,57800,7325,11040,42215,23360,52090"
31,forward,clean_crossing,-1,16,7,16,16,0.3179944661658505,"57800,48605,56605,29860,38795,18245,31075,9330,7450,50250,50560,57570,12150,32530,53345,41430"
31,backward,unrestricted,1,16,5,1,6,0.527815185697351,"6135,27305,12465,45490,44525,11205,40755,33730,38760,43400,21545,19900,39825,28435,8430,34370"
31,backward,clean_crossing,1,16,8,16,16,0.3131501514241408,"21545,7070,43780,45835,38810,32535,11290,10975,4225,31080,55015,56620,57560,57805,32340,9865"
32,forward,unrestricted,-1,16,8,0,3,0.5374632143485794,"59630,44110,25445,20170,54145,20355,11925,55585,38510,24335,52145,16365,34410,25970,3680,48105"
32,forward,clean_crossing,-1,16,6,16,16,0.30339343450836714,"56610,57585,44690,43115,20580,10975,18250,9490,4025,29970,25335,28000,14080,13415,11275,31090"
32,backward,unrestricted,1,16,7,1,3,0.5686753550722814,"9795,19955,32540,48025,44095,6370,38520,23040,59640,27310,11910,48810,33600,27195,57555,58540"
32,backward,clean_crossing,1,16,5,16,16,0.29481909539522777,"32540,18235,55005,43810,18595,4225,25340,50220,9870,56595,2105,20830,43125,37575,31070,9615"
33,forward,unrestricted,-1,16,8,0,3,0.4705011518149102,"7255,40600,23275,41135,22640,45530,23550,40955,1445,29725,14450,2210,41300,38575,46870,7975"
33,forward,clean_crossing,-1,16,9,16,16,0.30434812341381323,"50915,10995,41425,54390,36795,35805,43785,20815,53360,48610,58970,55020,47855,3495,8050,43250"
33,backward,unrestricted,1,16,5,1,3,0.5965377104188351,"20175,26105,9710,56300,40530,14705,15390,55510,29125,59660,23055,56680,55665,48605,53185,27335"
33,backward,clean_crossing,1,16,10,16,16,0.31648255388695967,"48605,11280,44825,50560,36770,58965,55025,29970,56610,39100,43120,55930,54380,3360,11005,2105"
34,forward,unrestricted,-1,16,7,1,4,0.5500775106560565,"51810,47375,52925,59625,11185,45035,28275,38555,20165,28565,34395,57785,50910,25460,9020,6345"
34,forward,clean_crossing,-1,16,11,16,16,0.3116652796785173,"50910,25305,56600,11005,25095,47475,28850,18240,55015,12290,18630,8050,13415,47880,12135,58950"
34,backward,unrestricted,1,16,6,1,4,0.5589050241954162,"59660,14580,56150,5815,3295,8320,45300,6365,41290,10980,19280,30020,21195,47360,22885,29450"
34,backward,clean_crossing,1,16,12,16,16,0.29255870045041443,"10980,18620,25120,50570,43115,55020,7460,25340,9870,48115,9195,3360,47845,43805,48615,9495"
35,forward,unrestricted,1,16,7,2,5,0.3468931825040683,"42760,47580,38750,56710,51660,41905,4415,38095,52890,50075,18105,42010,41530,51880,31800,10985"
35,forward,clean_crossing,1,16,7,16,16,0.31586447967986375,"31800,10985,45505,5950,50545,54390,9215,32540,39080,18245,54995,25315,9495,7480,24315,31265"
35,backward,unrestricted,-1,16,8,0,2,0.5513422532552068,"58775,5870,51655,52830,17545,37860,3305,34580,30505,13000,42215,48425,16705,49875,32545,41610"
35,backward,clean_crossing,-1,16,7,16,16,0.32252615316093586,"5945,45510,50550,9870,32520,10980,36775,54395,2135,18240,13405,29980,48605,57560,3495,50245"
36,forward,unrestricted,-1,16,7,3,6,0.5112283309282819,"33325,22895,48535,25245,30620,24310,56585,2110,25080,52535,31065,21110,17475,40590,58305,13595"
36,forward,clean_crossing,-1,16,9,16,16,0.30004585548138274,"24310,2110,25080,20820,45840,18625,3495,54350,11000,39115,47875,9630,55930,50580,9505,11275"
36,backward,unrestricted,1,16,10,2,5,0.4385992098377388,"21370,51405,9760,15945,22665,45500,21955,3255,57590,48110,14120,10840,6150,13560,8095,15080"
36,backward,clean_crossing,1,16,10,16,16,0.3030849599796651,"57590,48110,53355,35805,55005,18610,43110,44805,54390,31080,18250,25115,58940,12145,43810,42020"
37,forward,unrestricted,1,16,8,1,4,0.5088433181450656,"24620,12920,59635,36605,18255,48275,3560,27490,54870,55320,45480,20855,20975,51255,20605,14555"
37,forward,clean_crossing,1,16,10,16,16,0.31380063563278815,"18255,9865,38805,28005,50900,20825,12280,4235,43120,56615,54400,32315,25315,48110,43805,32535"
37,backward,unrestricted,-1,16,6,1,3,0.4320153528147833,"44160,11270,48100,57430,45285,54140,57205,55010,32470,58425,13615,51510,43945,34390,28385,18185"
37,backward,clean_crossing,-1,16,8,16,16,0.30819674616444537,"55010,31810,56595,57580,4015,25345,32340,14070,58940,32540,39090,47850,13415,4230,12265,38790"
38,forward,unrestricted,-1,16,8,0,3,0.4699401616681904,"11270,3565,25240,33285,4565,41625,57510,45485,8205,59580,12740,21535,6495,11995,35320,34305"
38,forward,clean_crossing,-1,16,8,16,16,0.3043648307991925,"25325,48115,3360,9490,18260,54995,50910,12155,57595,14095,2135,8060,9325,3500,43810,10985"
38,backward,unrestricted,1,16,6,0,4,0.5203966273603261,"12890,52850,59825,17540,55520,33450,41150,24590,51250,47155,26155,39365,45605,39030,55935,45495"
38,backward,clean_crossing,1,16,8,16,16,0.30214277464556655,"2115,4020,8055,50240,25335,31815,18630,57590,29850,54760,48615,43245,50570,12135,43125,54380"
39,forward,unrestricted,1,16,10,1,3,0.5066808571710991,"3600,20165,59395,18190,32685,59140,36150,52675,52485,16180,37040,43235,11325,19965,3290,21765"
39,forward,clean_crossing,1,16,8,16,16,0.3055901256782803,"43235,9200,2130,47445,36795,54995,10625,50550,24300,25085,44815,28030,11000,31805,25320,18615"
39,backward,unrestricted,-1,16,8,0,4,0.44764039840005326,"46410,26150,21745,52545,13180,59020,19640,27045,35365,49460,5860,7250,48900,35890,33990,21145"
39,backward,clean_crossing,-1,16,5,16,16,0.29552125351117164,"4215,2125,12150,28840,36780,55035,24320,9325,50215,54385,56620,32510,11285,43120,29970,43240"
40,forward,unrestricted,-1,16,10,0,1,0.4718161068936412,"33295,24360,35185,40665,2190,46100,33130,45030,9530,38550,4860,13535,5255,51805,56285,58490"
40,forward,clean_crossing,-1,16,9,16,16,0.30443153439018755,"53375,37585,48600,9200,11495,43260,54395,58945,29965,28845,50905,2130,55010,39110,32325,25325"
40,backward,unrestricted,1,16,6,0,4,0.5685699158529888,"23060,51480,5105,43420,48070,37725,32105,52115,2765,26900,19145,5810,3950,54730,26780,57160"
40,backward,clean_crossing,1,16,10,16,16,0.3238377423518498,"58955,18630,12280,50565,9490,31075,25340,37570,31275,11285,25075,43800,55005,28025,54385,48595"
41,forward,unrestricted,1,16,8,1,4,0.49592174665008565,"41060,26935,58975,17900,40595,38800,24635,16420,57530,20810,15365,1870,7240,23685,18280,50665"
41,forward,clean_crossing,1,16,11,16,16,0.2984823061221181,"38800,11005,20830,58955,51300,47860,21555,18250,2090,36785,25315,13415,54385,41415,55025,45845"
41,backward,unrestricted,-1,16,6,1,4,0.48616604913633565,"36940,5770,34025,17375,5095,53190,23145,52810,47030,51845,37990,12800,58760,54400,20,32765"
41,backward,clean_crossing,-1,16,8,16,16,0.32088721681106747,"54400,49095,18255,45505,12155,3355,29965,56615,9625,44820,31085,31265,28015,14100,57565,37585"
42,forward,unrestricted,1,16,11,1,4,0.5247271169651099,"33020,57535,47010,34460,25340,13465,45915,17655,25690,52855,21520,12895,21120,43375,44190,59880"
42,forward,clean_crossing,1,16,9,16,16,0.3113901188092508,"25340,39090,4010,44675,28850,12290,50905,38795,51305,53370,56595,37570,55030,2120,9490,50540"
42,backward,unrestricted,-1,16,6,2,5,0.4531621757330707,"22520,57230,37920,23260,11260,8280,4675,49955,9770,8065,44120,57470,53525,9535,18260,22620"
42,backward,clean_crossing,-1,16,9,16,16,0.3146919129988271,"8065,18260,31095,2130,25305,47440,53365,57600,48600,45510,31800,32515,24290,6665,44645,57800"
43,forward,unrestricted,-1,16,10,0,3,0.5259060585772476,"42300,3200,57175,18285,5765,24015,38930,50925,440,8240,43375,49770,40765,45010,38230,26715"
43,forward,clean_crossing,-1,16,9,16,16,0.2961801364604687,"24325,2095,47440,35785,55015,18615,45840,47850,43260,10990,20815,44650,58965,41435,56605,48620"
43,backward,unrestricted,1,16,8,1,4,0.5089052459717427,"22990,3350,52330,2560,11280,9515,51250,8115,6715,45310,40515,8770,38025,23775,5480,59630"
43,backward,clean_crossing,1,16,9,16,16,0.311670942867699,"11280,18245,18625,37570,29860,57585,9865,55000,24315,43800,47450,43115,50265,41425,54355,4210"
